caseno_2011,prev_address_2011,age_2011,distance_to_work_2011,no_of_cars_2011,country_birth_2011,deprived_edu_2011,deprived_employ_2011,deprived_health_2011,deprived_housing_2011,deprived_2011,health_activity_limited_2011,child_2011,ethnicity_2011,general_health_2011,edu_2011,illness_in_house_2011,occupation_2011,prev_region_2011,social_grade_2011,sex_2011,tenure_2011,travel_mode_to_work_2011,travel_mode_to_work_2001,place_of_work_2011,live_near_work_2011,workplace_2011
2830756,1,15,,2,10,0,0,0,0,1,3,1,2,3,15,0,13,,,1,0,,,,,
2830751,1,3,,2,1,0,0,0,0,1,3,5,1,1,,0,,,,2,1,,,,,
2830774,1,10,1,2,1,0,0,1,0,2,3,1,1,1,14,1,14,,2,1,1,7,7,1,3,3
2830778,,1,,2,1,0,0,0,0,1,3,4,1,1,,0,,,,2,1,,,,,
2830820,1,3,,2,1,0,0,1,0,2,2,6,1,1,,1,,,,2,5,,,,,
2830816,1,14,4,1,1,0,0,1,0,2,2,1,1,3,12,1,54,,,1,1,10,10,1,4,4
2830841,1,9,3,2,1,0,0,1,0,2,2,4,1,2,15,1,42,,1,2,1,7,7,1,3,3
2830837,1,15,,0,1,1,0,1,0,3,2,1,1,3,10,2,71,,,1,0,,,,,
2830853,1,1,,2,1,0,0,1,0,2,3,4,1,1,,1,,,,2,5,,,,,
2830901,2,5,3,2,1,0,0,0,0,1,3,,1,1,14,0,52,8,2,1,4,7,7,1,3,3
2830905,1,15,,1,2,0,0,1,0,2,1,1,1,3,10,2,72,,,1,3,,,,,
2830927,2,2,,2,1,0,0,0,0,1,3,6,1,1,,0,,8,,2,1,,,,,
2830946,1,11,1,1,1,0,1,0,0,2,3,1,1,2,14,0,44,,2,2,1,7,7,1,3,3
2830977,1,2,,1,1,0,0,0,0,1,3,4,1,1,,0,,,,1,1,,,,,
2830998,1,12,,1,1,0,0,1,0,2,2,1,1,3,10,1,94,,4,2,0,,,,,
2831001,1,15,,2,1,0,0,0,0,1,3,1,1,1,13,0,21,,,1,0,,,,,
2831018,1,10,3,3,1,0,0,0,0,1,3,1,3,1,10,0,53,,3,2,0,7,7,1,3,3
2831012,1,8,8,2,1,0,0,1,0,2,3,4,1,1,15,1,24,,3,2,1,1,1,2,1,2
2831030,1,9,4,2,7,0,0,0,0,1,3,3,1,1,12,0,14,,2,2,1,7,7,1,3,3
2831060,1,12,3,3,1,0,0,0,0,1,3,1,1,1,11,0,54,,3,1,1,7,7,1,4,4
2831075,1,15,,1,1,1,0,0,0,2,3,,1,3,10,0,52,,,2,0,,,,,
2831082,1,3,,1,1,1,0,0,0,2,3,3,4,1,,0,,,,1,3,,,,,
2831097,2,2,,1,1,1,0,0,0,2,3,6,3,3,,0,,8,,1,3,,,,,
2831113,1,16,,1,1,0,0,0,0,1,3,,1,1,15,0,22,,,2,0,,,,,
2831158,1,3,,1,1,1,1,1,0,4,3,6,1,1,,1,,,,1,3,,,,,
2831167,1,3,,1,1,0,0,0,1,2,3,6,1,1,,0,,,,2,3,,,,,
2831159,1,8,3,2,1,0,0,0,0,1,3,1,1,3,15,0,21,,1,2,0,8,8,1,4,4
2831170,1,10,,0,1,1,0,1,0,3,1,1,1,4,10,2,,,3,2,3,,,,,
2831193,1,3,,1,1,0,1,1,1,4,1,4,1,3,,2,,,,1,3,,,,,
2831206,2,1,,1,1,0,0,0,0,1,3,4,1,1,,0,,8,,1,4,,,,,
2831234,1,6,3,2,13,0,0,0,0,1,3,1,1,1,15,0,23,,2,2,1,7,7,1,3,3
2831240,1,6,,1,1,0,0,0,1,2,3,2,1,2,14,0,51,,3,2,1,,,,,
2831245,1,10,9,3,1,0,0,1,0,2,2,1,1,3,14,1,53,,3,2,1,7,7,3,2,1
2831255,3,6,7,2,1,0,0,0,0,1,3,1,1,1,15,0,24,8,3,2,5,7,7,1,4,4
2831273,1,9,1,1,1,0,0,0,0,1,3,5,1,1,11,0,53,,2,2,1,7,7,1,3,3
